name,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,label
fuzz_5918,212,39,257,6,11,284,25,30,56,23,33,18,34,46,19,16,29,11,11,20,8,13,26,16,17,17,14,11,15,24,13,11,252,281,318,78,240,38,17,206,5,5,149,218,458,328,6,35,364,36,6,110,212,0
fuzz_7469_bug,596,113,502,10,15,929,88,86,206,82,90,71,73,152,81,39,115,48,54,41,29,43,100,45,45,44,41,39,45,82,41,40,845,708,898,441,457,113,62,0,10,10,484,815,1587,781,9,64,836,54,10,176,596,1
fuzz_6569,121,30,146,6,6,166,13,12,34,19,14,12,20,31,11,9,10,10,9,9,7,6,13,9,6,5,8,6,7,20,7,6,170,182,182,42,140,30,5,156,6,6,108,139,261,230,7,41,264,35,6,102,121,0
fuzz_7422_bug,86,2,22,8,13,137,11,3,35,13,15,11,12,27,10,4,24,6,7,6,10,7,20,8,8,7,8,10,5,12,7,2,139,176,102,88,14,2,14,0,9,9,85,119,252,235,4,61,285,46,8,145,86,1
fuzz_3677,268,8,136,5,12,271,15,27,52,20,21,21,19,61,35,13,85,8,6,13,10,13,85,11,10,9,11,9,7,23,13,12,282,320,355,229,126,8,72,0,4,4,167,222,448,358,7,25,383,27,5,83,268,0
fuzz_5865,19,3,23,1,1,32,3,3,9,3,2,0,3,6,3,0,4,0,3,0,1,2,2,0,1,4,1,1,0,5,2,1,33,29,30,8,22,3,2,20,0,0,24,20,59,35,1,0,40,5,1,15,19,0
fuzz_3542,89,2,46,5,5,153,5,14,31,17,12,14,14,30,16,4,36,3,3,1,4,9,32,11,8,6,7,7,3,12,8,5,121,132,116,78,38,2,24,0,4,4,79,79,166,168,5,25,195,27,5,74,89,0
fuzz_6517,262,56,293,7,13,346,32,42,59,33,25,35,31,61,28,12,33,18,14,21,10,12,27,26,9,11,17,22,19,40,16,20,314,348,393,109,284,56,16,280,7,7,173,290,576,399,5,46,440,39,7,132,262,0
fuzz_4278,538,11,260,8,18,498,45,44,103,41,46,41,43,86,49,33,162,20,17,30,27,17,161,26,15,23,27,31,30,46,25,26,460,633,686,441,245,11,133,0,7,7,319,410,909,691,6,46,738,45,8,147,538,0
fuzz_7167,129,33,157,4,6,140,15,9,27,10,9,15,15,23,17,6,15,4,2,8,5,13,16,9,10,6,8,13,6,8,8,6,138,171,198,51,147,33,7,131,3,3,83,141,242,199,2,21,224,23,4,68,129,0
fuzz_4212,46,3,29,2,1,58,9,2,7,6,3,6,8,9,8,6,14,1,6,1,2,1,10,1,4,1,2,2,2,5,1,7,54,61,60,35,25,3,9,0,1,1,27,56,99,75,2,7,86,11,2,27,46,0
fuzz_3367,133,5,60,4,7,147,15,9,36,15,10,9,11,31,11,8,46,6,7,8,5,5,52,4,8,8,4,8,4,15,6,2,139,172,186,134,52,5,41,0,3,3,71,130,238,199,3,19,221,21,4,63,133,0
fuzz_4374,271,5,131,8,14,286,23,30,73,16,18,24,17,57,28,10,104,20,13,11,11,10,94,7,9,17,7,13,9,22,11,8,223,355,371,249,122,5,82,0,9,9,169,220,460,414,6,59,460,44,8,137,271,0
fuzz_3019.v,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,3,4,12,0,0,18,5,1,12,0,0
fuzz_7096,165,45,220,4,6,229,19,22,49,25,19,17,23,30,25,5,19,11,12,18,14,17,16,13,21,6,13,15,12,29,7,15,232,208,252,53,199,45,4,191,3,3,140,184,412,241,7,20,261,23,4,69,165,0
fuzz_5028,265,61,337,6,14,390,49,28,87,31,31,31,28,69,36,18,33,15,25,23,22,14,33,14,19,7,18,18,25,42,20,19,369,344,409,91,318,61,11,311,8,8,218,340,610,394,9,51,424,33,6,120,265,0
fuzz_3377,693,21,349,8,28,634,58,59,145,61,56,43,42,116,54,27,208,31,28,34,29,36,208,42,31,19,34,21,30,53,26,35,626,802,905,587,318,21,179,0,8,8,370,584,1124,863,8,54,908,45,8,162,693,0
fuzz_3661,365,8,181,7,16,352,24,29,78,25,40,23,28,78,27,22,129,16,16,21,12,14,117,16,17,21,16,16,19,31,14,11,380,459,480,316,164,8,102,0,6,6,202,288,645,509,7,38,546,37,7,137,365,0
fuzz_6761,327,76,415,8,16,485,34,42,116,42,42,37,41,87,44,22,45,17,27,20,25,20,43,18,21,33,24,17,20,45,18,17,429,435,512,118,394,76,21,415,9,9,267,371,770,496,7,61,542,45,8,162,327,0
fuzz_4308,101,1,50,3,3,100,5,5,21,12,7,11,8,21,10,5,35,2,3,9,6,7,34,9,5,5,5,0,7,12,4,5,67,133,132,87,45,1,30,0,2,2,51,96,178,152,1,13,170,16,3,50,101,0
fuzz_5254,153,33,187,6,11,165,21,9,34,15,16,14,14,27,15,5,16,14,14,6,12,8,18,8,11,11,8,9,9,5,7,7,154,220,227,51,176,33,9,173,8,8,112,158,340,264,3,51,300,33,6,108,153,0
fuzz_2756.v,1,0,1,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,7,1,0,1,0,0,0,0,0,3,4,8,12,0,0,18,5,1,11,1,0
fuzz_854.v,9,0,10,4,5,25,0,3,5,0,1,3,1,7,5,1,1,1,1,2,2,1,0,1,1,2,2,1,0,1,4,2,21,48,9,0,9,0,0,0,5,5,26,27,42,75,2,30,97,20,4,64,9,0
fuzz_2925.v,8,2,11,2,2,19,2,1,3,4,1,1,3,0,4,0,1,3,0,2,0,1,1,0,1,0,0,1,0,3,1,1,20,27,10,0,10,2,0,0,1,1,17,22,33,38,0,6,50,10,2,30,8,0
fuzz_5169,110,31,181,1,2,173,21,16,30,20,16,10,15,32,13,7,8,5,8,11,9,7,8,7,7,9,5,11,7,9,7,4,154,122,204,30,174,31,2,125,0,0,82,142,312,129,1,0,135,6,1,18,110,0
fuzz_3224,330,8,176,10,13,413,47,27,101,43,31,32,34,67,31,12,106,14,23,12,18,28,110,22,19,16,34,15,16,48,23,20,419,456,428,271,157,8,83,0,11,11,272,315,679,527,6,70,585,54,10,191,330,0
fuzz_1349.v,23,8,47,4,5,76,9,9,17,5,4,3,8,19,2,4,1,5,3,6,4,4,1,3,4,3,4,1,1,7,1,3,46,63,43,0,43,8,0,0,4,4,46,43,107,90,3,24,111,20,4,64,23,0
fuzz_3745,554,11,280,7,19,448,41,34,102,50,30,31,37,87,36,24,165,24,26,25,13,22,165,15,30,19,27,26,25,48,23,20,437,639,717,467,250,11,142,0,9,9,265,457,830,692,7,56,729,37,7,131,554,0
fuzz_2987.v,0,0,0,1,0,9,1,0,0,3,2,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,11,7,0,0,0,0,0,0,0,0,8,1,12,13,1,0,18,5,1,12,0,0
fuzz_6829,201,55,258,4,10,232,18,24,48,22,14,26,18,40,22,14,14,7,4,11,15,18,20,10,6,11,11,9,7,30,14,11,280,247,317,65,252,55,6,225,3,3,153,218,428,279,6,21,300,23,4,72,201,0
fuzz_2824.v,6,2,12,3,1,24,2,3,8,2,0,2,1,5,1,1,1,0,0,0,1,5,0,0,2,1,0,1,0,1,1,2,12,24,10,0,10,2,0,0,2,2,13,16,25,42,1,12,59,15,3,35,6,0
fuzz_1472.v,23,8,41,4,5,53,4,9,10,4,7,2,7,7,3,1,1,1,5,2,2,3,2,5,3,1,3,4,3,9,2,3,52,51,38,0,38,8,0,0,5,5,39,44,81,78,2,30,100,20,4,53,23,0
fuzz_630.v,12,3,18,4,4,29,6,2,8,1,5,1,4,2,0,1,1,1,0,2,2,2,0,1,1,3,2,0,1,3,3,1,26,40,17,0,17,3,0,0,3,3,23,36,53,64,1,18,87,20,4,51,12,0
fuzz_5945,420,101,547,10,15,522,42,41,123,38,47,31,54,105,41,25,52,26,19,19,25,22,43,25,20,21,23,29,28,48,22,26,553,516,680,153,527,101,23,504,9,9,294,497,966,589,7,60,649,57,10,162,420,0
fuzz_5158,131,33,186,6,8,227,22,24,59,22,15,14,21,27,23,11,13,12,13,11,11,13,15,14,7,11,6,12,9,26,12,12,221,197,213,34,179,33,5,150,5,5,142,172,350,244,9,33,274,33,6,104,131,0
fuzz_2436.v,11,3,19,4,4,43,2,8,9,4,4,1,5,6,4,1,0,3,2,4,1,0,3,0,3,5,0,3,2,6,1,2,39,42,16,0,16,3,0,0,3,3,23,29,41,68,3,18,89,20,4,54,11,0
fuzz_763.v,6,2,10,4,3,26,3,2,8,2,0,1,2,5,3,4,0,2,6,1,0,1,2,2,1,1,1,2,1,4,1,2,39,35,9,0,9,2,0,0,4,4,31,23,49,61,2,24,83,20,4,53,6,0
fuzz_220.v,3,0,5,2,1,14,1,0,6,1,1,3,1,1,0,0,1,1,0,0,1,2,0,0,2,0,0,1,0,4,1,0,18,18,3,0,3,0,0,0,1,1,15,8,25,31,2,6,41,10,2,26,3,0
fuzz_6422,213,48,274,6,13,314,25,26,66,27,23,27,31,58,31,19,30,14,15,12,18,12,31,16,14,23,18,14,11,32,12,17,246,285,333,73,260,48,15,260,7,7,156,225,486,334,8,47,366,34,6,113,213,0
fuzz_452.v,10,4,14,4,3,42,6,2,9,3,7,3,3,5,4,1,3,0,0,1,1,1,0,2,0,0,1,4,2,3,2,1,34,39,14,0,14,4,0,0,7,7,12,24,50,67,1,42,90,20,4,56,10,0
fuzz_4515,465,12,239,7,21,472,42,42,106,37,47,44,40,72,42,18,148,25,15,25,22,25,150,34,25,25,30,27,18,39,24,21,465,566,606,392,214,12,122,0,8,8,254,379,794,618,5,51,659,39,7,148,465,0
fuzz_1707.v,27,10,46,4,6,59,3,7,14,6,2,1,8,13,5,3,5,5,5,3,4,5,1,2,1,3,5,3,2,6,4,4,51,60,45,0,45,10,0,0,5,5,35,48,94,88,3,30,109,20,4,58,27,0
fuzz_1409.v,24,8,38,2,5,43,3,0,8,3,5,6,3,8,7,3,3,1,0,2,0,6,2,0,3,2,2,1,1,4,0,2,31,37,35,0,35,8,0,0,1,1,16,32,63,48,0,6,60,10,2,24,24,0
fuzz_2340.v,7,1,8,4,3,18,3,1,2,1,4,3,0,3,1,1,0,2,0,1,0,0,0,1,0,0,1,1,1,0,0,1,19,41,8,0,8,1,0,0,3,3,19,26,48,66,2,18,88,20,4,57,7,0
fuzz_3576,252,4,134,9,16,284,24,9,73,26,18,27,27,52,28,11,78,12,11,12,18,10,80,13,22,19,13,23,14,26,16,12,277,336,324,212,112,4,64,0,9,9,178,210,504,401,7,59,452,49,9,142,252,0
fuzz_7482_bug,511,106,466,7,16,851,72,72,180,71,69,94,78,143,72,31,97,39,40,46,50,43,89,36,43,53,37,44,35,96,50,38,868,601,789,366,423,106,48,0,7,7,476,760,1520,655,9,44,691,38,7,135,511,1
fuzz_2876.v,5,2,8,1,1,6,0,2,0,2,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,9,8,0,8,2,0,0,0,0,3,9,10,14,0,0,20,5,1,9,5,0
fuzz_800.v,13,4,20,3,4,22,2,1,5,1,2,0,1,7,3,3,1,0,1,0,1,3,3,0,1,2,0,3,1,3,1,0,33,30,19,0,19,4,0,0,2,2,19,28,46,49,2,12,65,15,3,34,13,0
fuzz_4269,58,1,27,3,3,84,5,4,21,7,14,6,8,15,4,10,19,3,3,4,5,3,17,3,3,5,4,3,1,2,3,3,74,88,71,47,24,1,13,0,2,2,48,83,122,110,2,14,129,18,3,50,58,0
fuzz_85.v,6,0,8,4,6,33,8,6,4,4,2,3,2,2,2,1,1,0,0,0,0,2,0,1,2,0,0,1,0,3,2,1,14,35,6,0,6,0,0,0,3,3,11,19,29,60,2,18,82,20,4,52,6,0
fuzz_710.v,20,3,25,4,8,44,5,2,10,2,5,5,2,6,7,2,3,2,3,4,2,4,2,5,0,1,0,0,2,5,0,1,32,52,25,0,25,3,0,0,5,5,26,36,71,79,2,30,101,20,4,57,20,0
fuzz_5078,352,88,444,7,19,447,41,42,85,47,42,36,41,73,40,17,40,31,25,25,26,18,37,26,22,18,27,21,15,39,27,26,430,439,567,145,422,88,18,423,6,6,274,379,834,489,5,40,530,39,7,132,352,0
fuzz_5685,234,54,270,6,15,302,20,25,64,24,29,26,28,59,27,20,32,9,13,13,15,13,33,14,15,10,9,16,19,22,15,14,295,318,334,79,255,54,11,260,7,7,180,276,535,363,6,45,395,32,6,123,234,0
fuzz_1792.v,8,3,13,1,1,19,2,3,3,0,1,0,3,4,3,0,1,4,0,2,0,0,0,1,1,0,1,0,1,0,0,0,14,21,12,0,12,3,0,0,0,0,11,17,25,26,0,0,32,5,1,18,8,0
fuzz_6509,279,61,358,6,12,388,44,28,87,27,32,25,36,75,34,17,34,19,19,21,14,15,29,18,14,20,17,24,18,36,22,19,394,350,444,100,344,61,19,294,5,5,219,348,558,394,6,32,427,33,6,109,279,0
fuzz_3145.v,10,4,14,3,4,19,2,1,4,2,1,2,1,2,4,0,1,1,3,0,3,1,2,1,0,1,1,0,2,0,3,2,26,35,14,0,14,4,0,0,2,2,22,24,46,52,0,12,70,15,3,42,10,0
fuzz_2361.v,5,1,9,3,2,22,1,2,6,7,0,2,2,0,2,0,0,1,0,1,0,1,1,3,2,1,0,2,0,1,1,2,18,25,7,0,7,1,0,0,2,2,16,16,37,43,1,12,60,15,3,37,5,0
fuzz_2227.v,2,1,4,4,1,44,3,5,14,2,6,2,1,7,4,1,2,3,0,5,0,1,1,1,0,1,0,2,1,6,0,0,31,46,4,0,4,1,0,0,3,3,20,31,54,70,1,18,93,20,4,67,2,0
fuzz_7309_bug,302,66,244,8,13,531,57,38,130,28,49,35,44,107,43,27,39,34,25,33,28,16,45,24,40,25,23,31,28,50,25,29,516,389,428,224,204,66,14,0,9,9,305,475,863,453,14,56,488,41,8,137,302,1
fuzz_7147,62,15,69,3,4,91,8,8,23,4,8,5,6,18,11,2,10,4,5,6,2,7,8,8,4,8,5,4,6,7,4,4,81,98,84,19,65,14,3,70,2,2,56,86,158,119,2,13,137,17,3,55,62,0
fuzz_6016,195,36,227,9,17,274,18,22,66,19,21,24,33,52,19,14,27,17,14,18,11,14,24,21,15,14,13,10,12,32,13,15,256,302,282,70,212,36,18,216,9,9,192,191,468,367,9,56,414,47,9,163,195,0
fuzz_6508,102,26,117,3,4,130,11,10,32,16,9,9,10,25,8,3,8,7,6,6,12,10,15,4,7,5,7,6,8,8,2,9,96,129,142,32,110,26,3,83,2,2,77,101,192,151,4,13,166,16,3,45,102,0
